ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0006361,transcription initiation at RNA polymerase I promoter,21,0.64020406773014,1.67076021756587,0.0157586656770964,0.0840784522616977,0.0451950720893431,1327,"tags=43%, list=14%, signal=37%",284119/84172/5441/30834/6598/5437/9533/5435/64425,0.352487857583619
GO:1902894,negative regulation of miRNA transcription,16,0.675548781371993,1.66999997110138,0.0130630290927223,0.0748994331131631,0.0402610322614421,873,"tags=31%, list=9%, signal=28%",7422/5914/6662/9612/5970,0.380730400722792
GO:0032964,collagen biosynthetic process,22,0.631038734779284,1.66992750393358,0.010348661730781,0.0643171612723064,0.0345726956442561,536,"tags=27%, list=6%, signal=26%",7431/2149/5352/4261/4921/51430,0.380730400722792
GO:0032878,regulation of establishment or maintenance of cell polarity,14,0.709613101737171,1.66920947475258,0.0231891423854301,0.109583629189827,0.0589049856154673,771,"tags=21%, list=8%, signal=20%",10399/162282/6093,0.352487857583619
GO:2000114,regulation of establishment of cell polarity,14,0.709613101737171,1.66920947475258,0.0231891423854301,0.109583629189827,0.0589049856154673,771,"tags=21%, list=8%, signal=20%",10399/162282/6093,0.352487857583619
GO:0099638,endosome to plasma membrane protein transport,14,-0.766501667296591,-1.66870704904504,0.0123061935520217,0.0722282848254957,0.0388251977976166,982,"tags=57%, list=10%, signal=51%",51201/9912/537/6653/8766/27065/56850/9495,0.380730400722792
GO:0035909,aorta morphogenesis,11,0.760828554621416,1.66828224372389,0.00904307274285425,0.0598760209727448,0.0321854293400093,137,"tags=27%, list=1%, signal=27%",6909/182/23493,0.380730400722792
GO:1900151,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",15,0.6986533336017,1.6675974800335,0.0176178652760958,0.090227416826607,0.048500352923021,708,"tags=33%, list=7%, signal=31%",678/677/11044/1660/27161,0.352487857583619
GO:0010712,regulation of collagen metabolic process,19,0.660414653048132,1.66659412869906,0.00905220716852959,0.0598760209727448,0.0321854293400093,536,"tags=26%, list=6%, signal=25%",7431/2149/4261/4921/51430,0.380730400722792
GO:0006874,intracellular calcium ion homeostasis,80,-0.566203638717437,-1.66649192069908,0.000772104272720906,0.0108248506009376,0.00581873107919489,604,"tags=19%, list=6%, signal=18%",488/286097/793/785/10367/491/79085/2039/3708/7220/9256/23400/490/9899/27020,0.477270815362862
GO:0006885,regulation of pH,58,-0.584456060659096,-1.66568734596312,0.00432610790989245,0.0351756751054839,0.0189081403072863,1428,"tags=34%, list=15%, signal=30%",5164/6508/9497/65082/57282/54997/84286/6553/79641/537/84679/9498/527/10159/23335/11261/23312/535/10479/51382,0.407017918923954
GO:0009303,rRNA transcription,37,0.564733011075391,1.66567826628716,0.00897897549179391,0.0598598366119594,0.032176729687093,2319,"tags=51%, list=24%, signal=39%",1663/284119/9555/84172/5441/30834/6598/5437/9533/5435/4691/64425/84365/1387/221830/25926/2976/9014/29997,0.380730400722792
GO:0002250,adaptive immune response,173,0.435603569072223,1.66538938661124,7.12633991709437e-05,0.00207401065173367,0.00111485235988187,1968,"tags=31%, list=20%, signal=25%",11119/182/196/11118/720/3133/3956/301/84818/54209/28988/6774/10758/54210/3106/54440/714/718/64332/5130/84695/3592/3105/81622/3113/7855/3107/8772/55824/26022/121260/64421/975/6046/9021/113/56957/3965/7040/89790/7942/3665/10384/567/2302/84861/219790/51279/6494/25865/89857/100507436/3140,0.538434096309916
GO:0035987,endodermal cell differentiation,16,0.673662647468886,1.66533732696592,0.0132754314277946,0.0758082823075689,0.0407495700943183,2005,"tags=62%, list=21%, signal=50%",4323/4313/8091/9555/8019/1289/2335/54623/1295/6657,0.380730400722792
GO:0060306,regulation of membrane repolarization,16,-0.76160008129034,-1.66371714885205,0.00451304536560296,0.0364847728790124,0.0196118255756886,978,"tags=44%, list=10%, signal=39%",781/6330/388591/9465/30819/6324/784,0.407017918923954
GO:0141162,negative regulation of cAMP/PKA signal transduction,20,-0.713120147242776,-1.66264414109643,0.00584432988259928,0.0441990539508404,0.0237585180965445,1095,"tags=40%, list=11%, signal=36%",10846/5143/5141/5153/5573/27115/5144/5138,0.407017918923954
GO:0015837,amine transport,30,-0.646753731990471,-1.66166241453941,0.00873440823890908,0.0586535347793925,0.0315283007874426,1299,"tags=37%, list=13%, signal=32%",477/6812/10550/84062/2917/22930/8564/6804/1141/124935/3737,0.380730400722792
