Gene_ID,log2FC,P.Value,FDR,Gene_Symbol,Gene_Description,Significance
ENSG00000172465,-0.882307846016147,0.216684708486058,0.522059404499127,TCEAL1,transcription elongation factor A like 1,NS
ENSG00000172493,0.29924800170823,0.342870827945912,0.647411836050468,AFF1,ALF transcription elongation factor 1,NS
ENSG00000172500,-0.330354504781073,0.517833887664225,0.779521643023673,FIBP,FGF1 intracellular binding protein,NS
ENSG00000172508,0.124530095537154,0.93304577240746,0.97511996521956,CARNS1,carnosine synthase 1,NS
ENSG00000172531,0.2985374404179,0.523084759797504,0.780881550740452,PPP1CA,protein phosphatase 1 catalytic subunit alpha,NS
ENSG00000172534,0.00796099850483626,0.981091869145877,0.993749219992944,HCFC1,host cell factor C1,NS
ENSG00000172548,1.79580630513126,0.164218265864577,0.452819760832112,NIPAL4,NIPA like domain containing 4,NS
ENSG00000172572,-0.688437033960787,0.146129494582743,0.424190175160224,PDE3A,phosphodiesterase 3A,NS
ENSG00000172575,-0.174833432939059,0.891210896922904,0.961196704902495,RASGRP1,RAS guanyl releasing protein 1,NS
ENSG00000172578,0.598995411159326,0.226069802902669,0.53234944519838,KLHL6,kelch like family member 6,NS
ENSG00000172590,0.413561078639931,0.127784595206656,0.392539393464669,MRPL52,mitochondrial ribosomal protein L52,NS
ENSG00000172602,-1.47318296012426,1.97322753480595e-05,0.000815708100918966,RND1,Rho family GTPase 1,Down
ENSG00000172613,-0.0605571685190218,0.812210572136289,0.926250062396113,RAD9A,RAD9 checkpoint clamp component A,NS
ENSG00000172650,-0.240956103687461,0.53766818108604,0.787312946174884,AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",NS
ENSG00000172663,0.553808853148949,0.0543198655120273,0.233907992306893,TMEM134,transmembrane protein 134,NS
ENSG00000172671,-0.158412015459878,0.712859350546738,0.877792036758342,ZFAND4,zinc finger AN1-type containing 4,NS
ENSG00000172687,0.26883021973676,0.453226420893826,0.736789862762366,ZNF738,zinc finger protein 738,NS
ENSG00000172716,0.732802055590243,0.636565307307652,0.844720765049039,SLFN11,schlafen family member 11,NS
ENSG00000172728,-0.135161858577041,0.641469685671295,0.848379642946334,FUT10,fucosyltransferase 10,NS
ENSG00000172732,-0.0528610214855874,0.832105555046138,0.934807031191248,MUS81,MUS81 structure-specific endonuclease subunit,NS
ENSG00000172733,-0.0843997711630357,0.769523875330614,0.907479361258639,PURG,purine rich element binding protein G,NS
ENSG00000172748,0.00372769876037332,0.993225480250526,0.997148474122877,ZNF596,zinc finger protein 596,NS
ENSG00000172757,0.125691344045384,0.818050040124867,0.9289019979316,CFL1,cofilin 1,NS
ENSG00000172766,0.348506545151903,0.157763051610712,0.442547798634369,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",NS
ENSG00000172775,-0.260586716507993,0.335353094143445,0.640407090418567,PSME3IP1,proteasome activator subunit 3 interacting protein 1,NS
ENSG00000172785,0.598844157962734,0.537268419019659,0.787312946174884,ZNG1A,Zn regulated GTPase metalloprotein activator 1A,NS
ENSG00000172794,-1.83309420420779,3.35677676565847e-08,5.39641826707762e-06,RAB37,"RAB37, member RAS oncogene family",Down
ENSG00000172795,-0.140672055167048,0.390131625597123,0.683443338320372,DCP2,decapping mRNA 2,NS
ENSG00000172809,0.299522997268229,0.291070279185886,0.600699644379036,RPL38,ribosomal protein L38,NS
ENSG00000172819,0.118687516797874,0.802807105392281,0.921967384444157,RARG,retinoic acid receptor gamma,NS
ENSG00000172824,-2.54390527071415,0.119761450341152,0.37798191619046,CES4A,carboxylesterase 4A,NS
ENSG00000172830,0.608225960454339,0.0887460584850614,0.316151980420929,SSH3,slingshot protein phosphatase 3,NS
ENSG00000172831,-0.0574074561293457,0.81079837887834,0.925736375044099,CES2,carboxylesterase 2,NS
ENSG00000172840,-0.0622978771110991,0.815484368109499,0.928148552898629,PDP2,pyruvate dehydrogenase phosphatase catalytic subunit 2,NS
ENSG00000172845,0.235416950459339,0.227936186070061,0.534346022820709,SP3,Sp3 transcription factor,NS
ENSG00000172869,-0.789788735481087,0.291447309643714,0.600699644379036,DMXL1,Dmx like 1,NS
ENSG00000172888,0.919426201442034,1.55796264206947e-05,0.000674318189695709,ZNF621,zinc finger protein 621,NS
ENSG00000172889,-0.82063501319102,0.0876568686651958,0.314223885766265,EGFL7,EGF like domain multiple 7,NS
ENSG00000172890,0.457966241515077,0.0850124294247764,0.308162449969268,NADSYN1,NAD synthetase 1,NS
ENSG00000172893,-0.518654372053336,0.194352695240592,0.494201380215093,DHCR7,7-dehydrocholesterol reductase,NS
ENSG00000172900,-1.23468171576492,0.101452914817872,0.342847888313449,,,NS
ENSG00000172901,1.21374806459426,0.0534919406920661,0.232019860954709,LVRN,laeverin,NS
ENSG00000172932,-0.198427678499005,0.519160082683844,0.779895182056062,ANKRD13D,ankyrin repeat domain 13D,NS
ENSG00000172939,0.107770345301557,0.832927944451724,0.935035936755382,OXSR1,oxidative stress responsive kinase 1,NS
ENSG00000172943,0.532304105160786,0.00896999299168414,0.0714214536319001,PHF8,PHD finger protein 8,NS
ENSG00000172954,-0.331542790523835,0.107659579918317,0.355518821458335,LCLAT1,lysocardiolipin acyltransferase 1,NS
ENSG00000172965,1.52563772919089,2.22699339668123e-05,0.000898605144286354,,,Up
ENSG00000172977,0.115905788807388,0.758101058099241,0.900597663870038,KAT5,lysine acetyltransferase 5,NS
ENSG00000172985,0.230485204654651,0.444919448867672,0.728495110816036,SH3RF3,SH3 domain containing ring finger 3,NS
ENSG00000173011,-0.627733833592538,0.000339066679919484,0.00685442581681544,TADA2B,transcriptional adaptor 2B,NS
ENSG00000173013,-0.88132605611159,0.340947970376631,0.64544318578963,CCDC96,coiled-coil domain containing 96 [Source:HGNC Symbol;Acc:HGNC:26900],NS
ENSG00000173020,-0.161830462841837,0.701487503568837,0.873831683944234,GRK2,G protein-coupled receptor kinase 2,NS
ENSG00000173039,0.858385541038958,0.0386078428888231,0.191754598956515,RELA,"RELA proto-oncogene, NF-kB subunit",NS
ENSG00000173040,2.67708137213061,0.000464416656838945,0.00856759909009988,EVC2,EvC ciliary complex subunit 2,Up
ENSG00000173041,0.0437324097861236,0.879847724937841,0.955072242110824,ZNF680,zinc finger protein 680,NS
ENSG00000173064,-0.456750154160808,0.0476631353566112,0.216233344865074,HECTD4,HECT domain E3 ubiquitin protein ligase 4,NS
ENSG00000173068,0.761461907940636,0.253659643086595,0.565080005643662,BNC2,basonuclin zinc finger protein 2,NS
ENSG00000173083,0.24444286476442,0.75228305302174,0.898804315619674,HPSE,heparanase,NS
ENSG00000173085,0.207528076874749,0.697800026287635,0.87239982508671,COQ2,"coenzyme Q2, polyprenyltransferase",NS
ENSG00000173110,3.03647314735343,0.00106090352806172,0.0157387412510706,HSPA6,heat shock protein family A (Hsp70) member 6,Up
ENSG00000173113,0.24328756993584,0.754848121410306,0.899132945399192,TRMT112,tRNA methyltransferase activator subunit 11-2,NS
ENSG00000173114,-0.800711232694249,0.397144093002571,0.688274362411026,LRRN3,leucine rich repeat neuronal 3,NS
ENSG00000173120,0.10802496940867,0.573434725318505,0.808730171532907,KDM2A,lysine demethylase 2A,NS
ENSG00000173141,0.119763194068562,0.590188889863981,0.818378022527711,MRPL57,mitochondrial ribosomal protein L57,NS
ENSG00000173153,-0.36416257122638,0.581258185673026,0.813166607623839,ESRRA,estrogen related receptor alpha,NS
ENSG00000173163,0.231856878685272,0.392691556790685,0.68513007531026,COMMD1,copper metabolism domain containing 1,NS
ENSG00000173166,-0.725380147449703,0.0115318616643953,0.086068308722915,RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,NS
ENSG00000173193,0.0462941806963114,0.981618022959658,0.993971317304269,PARP14,poly(ADP-ribose) polymerase family member 14,NS
ENSG00000173198,-0.924277646317588,0.214507908303372,0.519646043504244,CYSLTR1,cysteinyl leukotriene receptor 1,NS
ENSG00000173200,-0.144423528355419,0.523564337575938,0.780881550740452,PARP15,poly(ADP-ribose) polymerase family member 15,NS
ENSG00000173207,0.843680050077148,0.185864218140587,0.482057055397661,CKS1B,CDC28 protein kinase regulatory subunit 1B,NS
ENSG00000173210,-0.703332034566962,0.139316554431348,0.413539877866557,ABLIM3,actin binding LIM protein family member 3,NS
ENSG00000173226,0.00234111665516143,0.9950711834852,0.997550694649992,IQCB1,IQ motif containing B1,NS
ENSG00000173227,-0.205878129076006,0.51601678017028,0.778603033531103,SYT12,synaptotagmin 12,NS
ENSG00000173258,-1.12610187716811,0.000338108394332017,0.00684872363558934,ZNF483,zinc finger protein 483,Down
ENSG00000173261,-0.500326069409449,0.330345722363575,0.635003995771502,PLAC8L1,PLAC8 like 1,NS
ENSG00000173267,-2.47394327008554,0.00649225265215086,0.0568310586525358,SNCG,synuclein gamma,NS
ENSG00000173269,-0.736078147904791,0.0938451308342275,0.327318026820941,MMRN2,multimerin 2,NS
ENSG00000173272,0.453138269922017,0.455308550495276,0.738398862999013,MZT2A,mitotic spindle organizing protein 2A,NS
ENSG00000173276,-0.0122571393122712,0.983429958200134,0.993971317304269,ZBTB21,zinc finger and BTB domain containing 21,NS
ENSG00000173281,0.291723462977683,0.835439138873955,0.935807767459204,PPP1R3B,protein phosphatase 1 regulatory subunit 3B,NS
ENSG00000173320,-0.587488477831497,0.138877222982345,0.412598566842238,STOX2,storkhead box 2,NS
ENSG00000173327,0.291666323935097,0.385314742958733,0.680227944341302,MAP3K11,mitogen-activated protein kinase kinase kinase 11,NS
ENSG00000173334,0.755799956015139,0.0271471806313224,0.156219684905701,TRIB1,tribbles pseudokinase 1,NS
ENSG00000173349,0.623140769341695,0.0667100571855615,0.264749004379062,SFT2D3,SFT2 domain containing 3,NS
ENSG00000173391,0.241655579503891,0.830206494002603,0.93427206491603,OLR1,oxidized low density lipoprotein receptor 1,NS
ENSG00000173402,1.11400221872759,0.00985145022459181,0.0761569176621446,DAG1,dystroglycan 1,NS
ENSG00000173404,0.289584409609435,0.776014081303121,0.909871569279695,INSM1,INSM transcriptional repressor 1,NS
ENSG00000173409,-0.74480442337876,0.279760342283439,0.588862340773348,ARV1,"ARV1 homolog, fatty acid homeostasis modulator",NS
