Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
OPN3,1,0,1,0,-1.45719686442446
TSPYL1,1,0,1,0,-1.44796787700333
SLC39A1,1,0,0.125382262996942,3.24667177434713e-08,1.16102519612076
OAT,1,0,1,0,-1.09394689324178
KCNC4,1,0,0.125382262996942,3.24667177387918e-08,-1.60417230268083
NAP1L3,1,0,1,0,-1.6853351727164
FNDC5,1,0,1,0,-1.16716946906824
FSCN1,1,0,0.666666666666667,0,1.33463437156524
NCALD,1,0,0.221279876638396,0.00152112572885573,-1.97944275738034
CBX6,1,0,0.201686577652846,0.0571568203168407,-1.23970904750446
SEPTIN9,1,0,0.152740819584886,3.36980452683975e-06,1.85479368960113
SATB1,1,0,0.194708276797829,0.00143648661347584,-1.28816260902676
CCPG1,1,0,0.188567674113009,5.41727285713725e-05,-1.16896139972732
FGF12,1,0,0.190951430472389,0.000149480736639984,-1.57361601327824
IL32,1,0,0.189313984168865,0.000584919739537372,1.49537950007215
MYCBP2,1,0,0.241176470588235,0.0209044918144017,-1.49970076682487
IL17RC,1,0,0.202112676056338,0.00419486378685677,1.205784303325
TNIP2,1,0,0.202112676056338,0.00419486378685676,1.25787361453076
SLIT2,1,0,0.186363636363636,0.000539173749210418,-2.76406374880424
EMP3,1,0,0.168328445747801,0.000248241827896782,2.60498548946967
FZD7,1,0,1,0,1.76702969548323
SCG5,1,0,1,0,-1.14262575454193
RAB6B,1,0,1,0,-1.26510916721523
PPFIA3,1,0,0.150498164656529,3.62950995840803e-06,-1.56447039241897
RPH3A,1,0,0.150498164656529,3.62950995840571e-06,-1.98885570881687
SYT5,1,0,0.15041928721174,3.61104238234722e-06,-2.18723719152383
SLC6A1,1,0,0.15041928721174,3.61104238234025e-06,-1.75987450850811
WDR17,1,0,0.173100120627262,0.000149774449624403,-1.885847884882
MCC,1,0,0.173100120627262,0.000149774449624407,1.03674204412268
PCDHB16,1,0,1,0,1.3259315554471
ARHGAP31,1,0,1,0,1.13957822693899
CHSY3,1,0,1,0,-1.07313253885739
NT5C3A,1,0,0.150656167979003,0.000111407617981711,1.16579446149402
TEF,1,0,1,0,-1.3100386216692
WWTR1,1,0,1,0,2.36615512945861
BOC,1,0,0.185161290322581,5.2977236152312e-05,1.95556725645018
CYP46A1,1,0,0.172475961538462,0.00029791628441103,-1.90436091635495
LRP10,1,0,0.172475961538462,0.000297916284411026,1.26018081468257
AFAP1L1,1,0,0.194708276797829,0.00356908039118228,1.70096262443868
GPX7,1,0,0.211340206185567,0.00547990412027813,1.2918823190685
FABP7,1,0,0.183856502242152,0.000631324919139973,2.22209543197016
TGIF1,1,0,0.190444591904446,0.000408686801423751,2.24330355003588
NEURL1,1,0,0.0927901713546718,1.60945337508764e-10,-1.71405818625178
HEY2,1,0,0.0927901713546718,1.60945335395896e-10,1.36127401891812
PREX1,1,0,0.188815789473684,5.78121639822003e-05,1.23321878501652
RGS7BP,1,0,0.188815789473684,5.78121639822031e-05,-2.63819044026277
SEMA4A,1,0,0.158301158301158,4.023381883746e-05,-1.00848074295549
LSM11,1,0,0.666666666666667,0,-1.15965599385406
