stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000318697,9606.ENSP00000333326,TUBB6,TUBA8,9606,0.964,0,0,0.072,0.304,0.287,0.65,0.811
9606.ENSP00000319281,9606.ENSP00000371710,BASP1,CDH18,9606,0.706,0,0,0,0.056,0,0,0.701
9606.ENSP00000319281,9606.ENSP00000478061,BASP1,MARCKS,9606,0.946,0,0,0,0.223,0.218,0,0.919
9606.ENSP00000321326,9606.ENSP00000362680,F2R,SRC,9606,0.7,0,0,0,0,0.084,0.5,0.398
9606.ENSP00000321455,9606.ENSP00000493232,MICU3,MICU1,9606,0.995,0,0,0,0.067,0.628,0.54,0.973
9606.ENSP00000321744,9606.ENSP00000434024,H2BC4,H2AX,9606,0.817,0,0.081,0,0.243,0.393,0.4,0.388
9606.ENSP00000321744,9606.ENSP00000397552,H2BC4,ACTL6A,9606,0.845,0,0,0,0,0.815,0,0.199
9606.ENSP00000321744,9606.ENSP00000339566,H2BC4,H1-2,9606,0.877,0,0.007,0,0.778,0.116,0,0.423
9606.ENSP00000321744,9606.ENSP00000483903,H2BC4,H2BC15,9606,0.902,0,0,0.048,0.199,0.812,0.4,0.044
9606.ENSP00000321744,9606.ENSP00000477907,H2BC4,H2BC14,9606,0.908,0,0,0.048,0.245,0.812,0.4,0.047
9606.ENSP00000321744,9606.ENSP00000480826,H2BC4,H3C1,9606,0.914,0,0.125,0,0.322,0.829,0,0.251
9606.ENSP00000321744,9606.ENSP00000477527,H2BC4,H2BC17,9606,0.941,0,0,0.048,0.393,0.85,0.4,0.044
9606.ENSP00000321744,9606.ENSP00000479106,H2BC4,H4C1,9606,0.962,0,0.066,0,0.302,0.915,0,0.399
9606.ENSP00000321744,9606.ENSP00000347168,H2BC4,H4C11,9606,0.964,0,0.066,0,0.346,0.915,0,0.394
9606.ENSP00000321744,9606.ENSP00000366974,H2BC4,H4C2,9606,0.967,0,0.066,0,0.369,0.915,0,0.424
9606.ENSP00000321744,9606.ENSP00000489317,H2BC4,H2BC6,9606,0.976,0,0,0.048,0.775,0.9,0,0
9606.ENSP00000321744,9606.ENSP00000348924,H2BC4,H2BC7,9606,0.977,0,0,0.048,0.661,0.9,0,0.374
9606.ENSP00000321744,9606.ENSP00000489236,H2BC4,H4C8,9606,0.979,0,0.066,0,0.625,0.915,0,0.397
9606.ENSP00000321744,9606.ENSP00000367022,H2BC4,H2AC6,9606,0.99,0,0.018,0,0.708,0.914,0.4,0.42
9606.ENSP00000322532,9606.ENSP00000358997,PELI3,IRAK1,9606,0.997,0,0,0,0,0.854,0.5,0.97
