Symbol,pooled_log2FC
MATN2,1.09416605269402
MAP4K2,-1.01625361580951
GNB5,-1.34158977456989
RGS7BP,-2.63819044026277
SH3PXD2B,1.87558047533421
LDB2,-2.02163385988012
H2AC4,2.84706116241989
PANK1,-1.64885365065492
FBXO41,-1.41128664959082
CCDC186,-1.21035887595034
TXNDC17,1.00440702776896
LRP10,1.26018081468257
PYGL,1.69884834266243
HSPA4L,-1.06187461181859
TRAF4,1.60189840936492
FRMD8,1.14018623468688
CCDC80,2.46619768563881
JPH1,-1.71986616904263
AVPI1,-1.98116548877232
PTTG1IP,1.16459366101282
NKAIN4,2.13160193511493
OPRD1,-1.11529711626244
NTN4,-1.92506157842095
LIMD1,1.64291795090063
EVC2,2.67708137213061
H2BC7,2.20032526794694
ZC3HAV1L,1.34450521784079
COX6C,-1.14518668686849
DLGAP1,-1.98016387278128
NLRC5,2.07163063818352
MMP19,2.27176611658043
TOX2,-2.0381862654796
LIPG,1.38025285416255
SPINT2,-1.68733450102858
TMEM140,1.68679691479337
SCG5,-1.14262575454193
CADPS2,-1.86102746167735
PINK1,-1.13602490395234
LTF,4.06500775493476
PRMT8,-1.74244720003198
C4A,1.68147649307255
HOMER3,1.02254427489761
FAM228A,-1.97926387407873
RFK,-1.05676056212131
GLRB,-1.39470542396264
POLG2,1.48539473769033
DBI,1.2690233825815
CAMK2B,-1.98653680040988
SYP,-1.94267940639163
SLC6A1,-1.75987450850811
RNF213,1.23538119476551
BCL2L11,1.07997211904208
FAM43B,-1.66730743852928
NRXN1,-1.060036212248
DLL3,3.43278313317087
C1QTNF1,2.21544549002657
SMIM3,1.69512120995023
RBM24,-1.20962466326881
LCAT,1.22628863292054
TSPAN12,2.47309520524237
RREB1,1.09699450856447
CREG2,-1.86121572502844
FKBP9,1.26815295703614
SPRYD3,-1.08064579261712
SLITRK3,-1.20736021859847
ZNF3,1.0797136563234
ZNF280B,-1.0308271874872
PRTG,1.50008573759103
RELT,1.24950773620874
DPF3,1.36853785001415
SOWAHC,1.12565036146348
HLA-E,1.11805275028523
SNORA84,1.32746431990745
PRRT2,-2.16051620151158
BLM,1.48606620165775
NRP2,1.45122643981681
DGKG,1.14902313647218
EFNA5,-1.69178010807344
MARCKS,1.1916270644523
VPS37B,1.04977338314364
CD82,1.34143659017177
GLB1L3,-1.69650888341294
SERTAD2,1.35768708162751
PLXNA3,1.12213078401417
FKBP1B,-1.22064745192653
ZFP36L1,1.28574457727038
MASP1,1.71290660483538
ZNF813,1.08773753739849
CDCA3,1.85880411503598
TAF4B,-1.08896273235333
TRIM37,-1.18215360095394
TRIM25,1.03143133020448
LGALS1,1.23994422870619
WEE1,3.99595886475846
SLC16A14,-1.38151768624851
TNC,4.73272583346946
PIEZO1,1.15062888098026
EPB41L3,-1.46849743011561
GRIA2,-1.232775177166
H2BC4,1.50217159679261
ELK3,1.61885226721636
FMC1,1.12797463310696
BCL11A,-1.75694741224285
AEN,1.82531056980539
GFRA2,-1.63125091243377
IRAK1,1.28999285876062
FRS3,-1.45367922544551
SLC15A3,1.39632435877038
FSCN1,1.33463437156524
HSPA6,3.03647314735343
SYNJ1,-1.57255632494444
CFAP74,-1.06285608185521
ANXA1,2.18364882874574
NCAPG2,2.28011400843572
GPX7,1.2918823190685
LGI2,-1.57607768515286
CNTN1,-1.86354843165323
SNORA28,1.46476708827737
EGR3,-1.37929898206747
PXDC1,1.25923586559156
PARD6A,-1.32786313217333
ENTREP2,-1.75515887001574
NCALD,-1.97944275738034
IPCEF1,-3.03505477671975
SNURF,-1.6121726695716
CAB39L,-1.45903573538165
GABRB3,-2.37967514422179
SEMA4A,-1.00848074295549
FAIM2,-1.57332477989399
ZNF765,1.24114245423447
SHE,-1.26628853233918
NKIRAS1,-1.59987154597543
LHFPL3,2.21797170992819
RASL11B,-1.6123768532332
GDAP1,-1.40444119615717
SLC6A9,2.88953266651159
ESCO2,1.83957903650733
CHSY3,-1.07313253885739
INHBB,1.50942433325836
TTBK2,-1.13634395482852
CYGB,-1.38669087995897
PRR36,-1.41698103775517
ANKFN1,1.47049711879438
SRC,-1.1492041324562
CACNG4,2.24102943357914
RAB3A,-2.39497381035417
TCIRG1,1.44817882040616
CHPF,1.20718979894522
MICU1,-1.04026891529828
NEMP1,1.12813063835341
TEP1,1.11713520173329
AGTRAP,1.31873398603072
S100A10,2.37591967700078
SNORA48,1.13764021157557
GNAO1,-1.19992932667834
RASGRP2,-1.43133800045581
BOC,1.95556725645018
IGFBP5,2.29967226238731
NDRG3,-1.06999511885038
SORL1,-1.02278637022971
SPIRE2,-1.00401541608713
PSMC3IP,1.44441134636106
TMEM135,-1.0920330696969
RARA,1.06565278198191
BCAN,1.99649475869517
NME4,1.01359317750594
HERC3,-1.13622085362509
NR1D1,-1.25334342252278
MTX2,-1.02669637051204
DISP2,-1.17568171948289
SPTB,-1.84835814855665
LMNA,1.45898916591026
TMEM179,-1.08698068952083
