Gene_ID,n_datasets
ENSG00000135002,1
ENSG00000135018,1
ENSG00000135046,1
ENSG00000135312,1
ENSG00000135362,1
ENSG00000135365,1
ENSG00000135423,1
ENSG00000135426,1
ENSG00000135446,1
ENSG00000135451,1
ENSG00000135476,1
ENSG00000135540,1
ENSG00000135547,1
ENSG00000135638,1
ENSG00000135750,1
ENSG00000135862,1
ENSG00000135905,1
ENSG00000135940,1
ENSG00000135951,1
ENSG00000136003,1
ENSG00000136099,1
ENSG00000136108,1
ENSG00000136213,1
ENSG00000136231,1
ENSG00000136237,1
ENSG00000136240,1
ENSG00000136451,1
ENSG00000136514,1
ENSG00000136518,1
ENSG00000136541,1
ENSG00000136643,1
ENSG00000136720,1
ENSG00000136732,1
ENSG00000136824,1
ENSG00000136830,1
ENSG00000136859,1
ENSG00000136867,1
ENSG00000136895,1
ENSG00000136938,1
ENSG00000136997,1
ENSG00000137040,1
ENSG00000137218,1
ENSG00000137261,1
ENSG00000137404,1
ENSG00000137494,1
ENSG00000137501,1
ENSG00000137628,1
ENSG00000137727,1
ENSG00000137766,1
ENSG00000137804,1
ENSG00000137807,1
ENSG00000137812,1
ENSG00000137825,1
ENSG00000137831,1
ENSG00000137959,1
ENSG00000137965,1
ENSG00000138080,1
ENSG00000138092,1
ENSG00000138101,1
ENSG00000138134,1
ENSG00000138175,1
ENSG00000138190,1
ENSG00000138207,1
ENSG00000138231,1
ENSG00000138311,1
ENSG00000138376,1
ENSG00000138378,1
ENSG00000138411,1
ENSG00000138413,1
ENSG00000138496,1
ENSG00000138670,1
ENSG00000138757,1
ENSG00000138785,1
ENSG00000138814,1
ENSG00000138823,1
ENSG00000138829,1
ENSG00000138944,1
ENSG00000139112,1
ENSG00000139146,1
ENSG00000139182,1
ENSG00000139190,1
ENSG00000139220,1
ENSG00000139263,1
ENSG00000139289,1
ENSG00000139292,1
ENSG00000139350,1
ENSG00000139352,1
ENSG00000139354,1
ENSG00000139405,1
ENSG00000139433,1
ENSG00000139505,1
ENSG00000139508,1
ENSG00000139734,1
ENSG00000139832,1
ENSG00000139880,1
ENSG00000139970,1
ENSG00000139973,1
ENSG00000140044,1
ENSG00000140262,1
ENSG00000140403,1
ENSG00000140455,1
ENSG00000140474,1
ENSG00000140678,1
ENSG00000140682,1
ENSG00000140807,1
ENSG00000140853,1
ENSG00000140854,1
ENSG00000140905,1
ENSG00000140931,1
ENSG00000140988,1
ENSG00000141384,1
ENSG00000141404,1
ENSG00000141433,1
ENSG00000141447,1
ENSG00000141485,1
ENSG00000141510,1
ENSG00000141526,1
ENSG00000141540,1
ENSG00000141668,1
ENSG00000141682,1
ENSG00000141756,1
ENSG00000141837,1
ENSG00000142173,1
ENSG00000142599,1
ENSG00000142657,1
ENSG00000142694,1
ENSG00000142700,1
ENSG00000142798,1
ENSG00000142864,1
ENSG00000142875,1
ENSG00000142945,1
ENSG00000142949,1
ENSG00000143013,1
ENSG00000143158,1
ENSG00000143164,1
ENSG00000143384,1
ENSG00000143493,1
ENSG00000143499,1
ENSG00000143507,1
ENSG00000143570,1
ENSG00000143603,1
ENSG00000143674,1
ENSG00000143842,1
ENSG00000143869,1
ENSG00000143933,1
ENSG00000143995,1
ENSG00000144191,1
ENSG00000144233,1
ENSG00000144331,1
ENSG00000144354,1
ENSG00000144366,1
ENSG00000144395,1
ENSG00000144406,1
ENSG00000144460,1
ENSG00000144485,1
ENSG00000144554,1
ENSG00000144567,1
ENSG00000144579,1
ENSG00000144583,1
ENSG00000144635,1
ENSG00000144645,1
ENSG00000144647,1
ENSG00000144671,1
ENSG00000144711,1
ENSG00000144791,1
ENSG00000144834,1
ENSG00000144857,1
ENSG00000144959,1
ENSG00000145029,1
ENSG00000145087,1
ENSG00000145147,1
ENSG00000145198,1
ENSG00000145242,1
ENSG00000145335,1
ENSG00000145362,1
ENSG00000145428,1
ENSG00000145451,1
ENSG00000145632,1
ENSG00000145703,1
ENSG00000145743,1
ENSG00000145808,1
ENSG00000145864,1
ENSG00000145908,1
ENSG00000145990,1
ENSG00000146112,1
ENSG00000146143,1
ENSG00000146147,1
ENSG00000146151,1
ENSG00000146263,1
ENSG00000146267,1
ENSG00000146425,1
ENSG00000146453,1
ENSG00000146469,1
ENSG00000146535,1
ENSG00000146592,1
ENSG00000146648,1
ENSG00000146670,1
ENSG00000146802,1
ENSG00000146842,1
ENSG00000146918,1
ENSG00000146966,1
ENSG00000147036,1
ENSG00000147044,1
ENSG00000147065,1
ENSG00000147416,1
ENSG00000147475,1
ENSG00000147488,1
ENSG00000147655,1
ENSG00000147676,1
ENSG00000147724,1
ENSG00000148082,1
ENSG00000148143,1
ENSG00000148180,1
ENSG00000148481,1
ENSG00000148482,1
ENSG00000148541,1
ENSG00000148690,1
ENSG00000148773,1
ENSG00000148848,1
ENSG00000148908,1
ENSG00000148925,1
ENSG00000148926,1
ENSG00000149257,1
ENSG00000149262,1
ENSG00000149269,1
ENSG00000149313,1
ENSG00000149483,1
ENSG00000149646,1
ENSG00000149926,1
ENSG00000149970,1
ENSG00000149972,1
